File_Name,Variable,Description,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Sample_ID,Unique identication number assigned to each 1L seawater sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Station_ID,The numerical code for the location where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Treatment,"Identifies each seawater sample as being from the surface, at the bottom near the substrate, or a field blank (control)",,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Depth,The depth below the surface in meters where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Depth2,N/A,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_start_time,The time when filtering began for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_end_time,The time when filtering ended for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_vol_ml,The total volume of seawater filtered for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Collection_date,The date on which each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Lat,The latitude where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Lon,The longitude where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",lat_lon,Concatinated latitude and longitude values,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Notes,Notes on sample collection or filtering,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Location,The place name for the location where each seawater sample was collected,,,,,,
